ZipCode,City,StateCode,Zone,DeliveryDays
Postal Code,Place Name,State Abbreviation,,
02032,East Walpole,MA,Eastern,2
02035,Foxboro,MA,Eastern,2
02038,Franklin,MA,Eastern,2
02040,Greenbush,MA,Eastern,2
02041,Green Harbor,MA,Eastern,2
02043,Hingham,MA,Eastern,2
02044,Hingham,MA,Eastern,2
02045,Hull,MA,Eastern,2
02047,Humarock,MA,Eastern,2
02048,Mansfield,MA,Eastern,2
02050,Marshfield,MA,Eastern,2
02051,Marshfield Hills,MA,Eastern,2
02052,Medfield,MA,Eastern,2
02053,Medway,MA,Eastern,2
02054,Millis,MA,Eastern,2
02055,Minot,MA,Eastern,2
02056,Norfolk,MA,Eastern,2
02059,North Marshfield,MA,Eastern,2
02060,North Scituate,MA,Eastern,2
02061,Norwell,MA,Eastern,2
02062,Norwood,MA,Eastern,2
02065,Ocean Bluff,MA,Eastern,2
02066,Scituate,MA,Eastern,2
02067,Sharon,MA,Eastern,2
02070,Sheldonville,MA,Eastern,2
02071,South Walpole,MA,Eastern,2
02072,Stoughton,MA,Eastern,2
02081,Walpole,MA,Eastern,2
02090,Westwood,MA,Eastern,2
02093,Wrentham,MA,Eastern,2
02101,Boston,MA,Eastern,2
02102,Boston,MA,Eastern,2
02103,Boston,MA,Eastern,2
02104,Boston,MA,Eastern,2
02105,Boston,MA,Eastern,2
02106,Boston,MA,Eastern,2
02107,Boston,MA,Eastern,2
02108,Boston,MA,Eastern,2
02109,Boston,MA,Eastern,2
02110,Boston,MA,Eastern,2
02111,Boston,MA,Eastern,2
02112,Boston,MA,Eastern,2
02113,Boston,MA,Eastern,2
02114,Boston,MA,Eastern,2
02115,Boston,MA,Eastern,2
02116,Boston,MA,Eastern,2
02117,Boston,MA,Eastern,2
02118,Boston,MA,Eastern,2
02119,Boston,MA,Eastern,2
02120,Boston,MA,Eastern,2
02121,Boston,MA,Eastern,2
02122,Boston,MA,Eastern,2
02123,Boston,MA,Eastern,2
02124,Boston,MA,Eastern,2
02125,Boston,MA,Eastern,2
02126,Mattapan,MA,Eastern,2
02127,Boston,MA,Eastern,2
02128,Boston,MA,Eastern,2
02129,Charlestown,MA,Eastern,2
02130,Jamaica Plain,MA,Eastern,2
02131,Roslindale,MA,Eastern,2
02132,West Roxbury,MA,Eastern,2
02133,Boston,MA,Eastern,2
02134,Allston,MA,Eastern,2
02135,Brighton,MA,Eastern,2
02136,Hyde Park,MA,Eastern,2
02137,Readville,MA,Eastern,2
02138,Cambridge,MA,Eastern,2
02139,Cambridge,MA,Eastern,2
02140,Cambridge,MA,Eastern,2
02141,Cambridge,MA,Eastern,2
02142,Cambridge,MA,Eastern,2
02143,Somerville,MA,Eastern,2
02144,Somerville,MA,Eastern,2
02145,Somerville,MA,Eastern,2
02146,Brookline,MA,Eastern,2
02147,Brookline Village,MA,Eastern,2
02148,Malden,MA,Eastern,2
02149,Everett,MA,Eastern,2
02150,Chelsea,MA,Eastern,2
02151,Revere,MA,Eastern,2
02152,Winthrop,MA,Eastern,2
02153,Medford,MA,Eastern,2
02154,Waltham,MA,Eastern,2
02155,Medford,MA,Eastern,2
02156,West Medford,MA,Eastern,2
02157,Babson Park,MA,Eastern,2
02158,Newton,MA,Eastern,2
02159,Newton,MA,Eastern,2
02160,Newton,MA,Eastern,2
02161,Newton,MA,Eastern,2
02162,Newton,MA,Eastern,2
02163,Boston,MA,Eastern,2
02164,Newton,MA,Eastern,2
02165,Newton,MA,Eastern,2
02166,Auburndale,MA,Eastern,2
02167,Chestnut Hill,MA,Eastern,2
02168,Waban,MA,Eastern,2
02169,Quincy,MA,Eastern,2
02170,Quincy,MA,Eastern,2
02171,Quincy,MA,Eastern,2
02172,Watertown,MA,Eastern,2
02173,Lexington,MA,Eastern,2
02174,Arlington,MA,Eastern,2
02175,Arlington Heights,MA,Eastern,2
02176,Melrose,MA,Eastern,2
02177,Melrose,MA,Eastern,2
02178,Belmont,MA,Eastern,2
02179,Waverley,MA,Eastern,2
02180,Stoneham,MA,Eastern,2
02181,Wellesley,MA,Eastern,2
02184,Braintree,MA,Eastern,2
02185,Braintree,MA,Eastern,2
02186,Milton,MA,Eastern,2
02187,Milton Village,MA,Eastern,2
02188,Weymouth,MA,Eastern,2
02189,Weymouth,MA,Eastern,2
02190,Weymouth,MA,Eastern,2
02191,Weymouth,MA,Eastern,2
02192,Needham,MA,Eastern,2
02193,Weston,MA,Eastern,2
02194,Needham,MA,Eastern,2
02195,Newton,MA,Eastern,2
02196,Boston,MA,Eastern,2
02199,Boston,MA,Eastern,2
02201,Boston,MA,Eastern,2
02202,Boston,MA,Eastern,2
02203,Boston,MA,Eastern,2
02204,Boston,MA,Eastern,2
02205,Boston,MA,Eastern,2
02206,Boston,MA,Eastern,2
02207,Boston,MA,Eastern,2
02208,Boston,MA,Eastern,2
02209,Boston,MA,Eastern,2
02210,Boston,MA,Eastern,2
02211,Boston,MA,Eastern,2
02212,Boston,MA,Eastern,2
02215,Boston,MA,Eastern,2
02216,Boston,MA,Eastern,2
02217,Boston,MA,Eastern,2
02222,Boston,MA,Eastern,2
02228,East Boston,MA,Eastern,2
02238,Cambridge,MA,Eastern,2
02239,Cambridge,MA,Eastern,2
02241,Boston,MA,Eastern,2
02254,Waltham,MA,Eastern,2
02258,Newton,MA,Eastern,2
02266,Boston,MA,Eastern,2
02269,Quincy,MA,Eastern,2
02272,Watertown,MA,Eastern,2
02277,Watertown,MA,Eastern,2
02283,Boston,MA,Eastern,2
02284,Boston,MA,Eastern,2
02293,Boston,MA,Eastern,2
02295,Boston,MA,Eastern,2
02297,Boston,MA,Eastern,2
02298,Boston,MA,Eastern,2
02301,Brockton,MA,Eastern,2
02302,Brockton,MA,Eastern,2
02303,Brockton,MA,Eastern,2
02304,Brockton,MA,Eastern,2
02305,Brockton,MA,Eastern,2
02322,Avon,MA,Eastern,2
02324,Bridgewater,MA,Eastern,2
02325,Bridgewater,MA,Eastern,2
02327,Bryantville,MA,Eastern,2
02330,Carver,MA,Eastern,2
02331,Duxbury,MA,Eastern,2
02332,Duxbury,MA,Eastern,2
02333,East Bridgewater,MA,Eastern,2
02334,Easton,MA,Eastern,2
02337,Elmwood,MA,Eastern,2
02338,Halifax,MA,Eastern,2
02339,Hanover,MA,Eastern,2
02340,Hanover,MA,Eastern,2
02341,Hanson,MA,Eastern,2
02343,Holbrook,MA,Eastern,2
02344,Middleboro,MA,Eastern,2
02345,Manomet,MA,Eastern,2
02346,Middleboro,MA,Eastern,2
02347,Lakeville,MA,Eastern,2
02348,Middleboro,MA,Eastern,2
02349,Middleboro,MA,Eastern,2
02350,Monponsett,MA,Eastern,2
02351,Abington,MA,Eastern,2
02355,North Carver,MA,Eastern,2
02356,North Easton,MA,Eastern,2
02357,North Easton,MA,Eastern,2
02358,North Pembroke,MA,Eastern,2
02359,Pembroke,MA,Eastern,2
02360,Plymouth,MA,Eastern,2
02361,Plymouth,MA,Eastern,2
02362,Plymouth,MA,Eastern,2
02363,Plymouth,MA,Eastern,2
02364,Kingston,MA,Eastern,2
02366,South Carver,MA,Eastern,2
02367,Plympton,MA,Eastern,2
02368,Randolph,MA,Eastern,2
02370,Rockland,MA,Eastern,2
02375,South Easton,MA,Eastern,2
02379,West Bridgewater,MA,Eastern,2
02381,White Horse Beach,MA,Eastern,2
02382,Whitman,MA,Eastern,2
02401,Brockton,MA,Eastern,2
02402,Brockton,MA,Eastern,2
02403,Brockton,MA,Eastern,2
02404,Brockton,MA,Eastern,2
02405,Brockton,MA,Eastern,2
02411,Brockton,MA,Eastern,2
02420,Lexington,MA,Eastern,2
02421,Lexington,MA,Eastern,2
02445,Brookline,MA,Eastern,2
02446,Brookline,MA,Eastern,2
02447,Brookline Village,MA,Eastern,2
02451,Waltham,MA,Eastern,2
02452,Waltham,MA,Eastern,2
02453,Waltham,MA,Eastern,2
02454,Waltham,MA,Eastern,2
02455,North Waltham,MA,Eastern,2
02456,New Town,MA,Eastern,2
02457,Babson Park,MA,Eastern,2
02458,Newton,MA,Eastern,2
02459,Newton Center,MA,Eastern,2
02460,Newtonville,MA,Eastern,2
02461,Newton Highlands,MA,Eastern,2
02462,Newton Lower Falls,MA,Eastern,2
02464,Newton Upper Falls,MA,Eastern,2
02465,West Newton,MA,Eastern,2
02466,Auburndale,MA,Eastern,2
02467,Chestnut Hill,MA,Eastern,2
02468,Waban,MA,Eastern,2
02471,Watertown,MA,Eastern,2
02472,Watertown,MA,Eastern,2
02474,Arlington,MA,Eastern,2
02475,Arlington Heights,MA,Eastern,2
02476,Arlington,MA,Eastern,2
02477,Watertown,MA,Eastern,2
02478,Belmont,MA,Eastern,2
02479,Waverley,MA,Eastern,2
02481,Wellesley Hills,MA,Eastern,2
02482,Wellesley,MA,Eastern,2
02492,Needham,MA,Eastern,2
02493,Weston,MA,Eastern,2
02494,Needham,MA,Eastern,2
02495,Nonantum,MA,Eastern,2
02499,Brockton,MA,Eastern,2
02532,Buzzards Bay,MA,Eastern,2
02534,Cataumet,MA,Eastern,2
02535,Chilmark,MA,Eastern,2
02536,East Falmouth,MA,Eastern,2
02537,East Sandwich,MA,Eastern,2
02538,East Wareham,MA,Eastern,2
02539,Edgartown,MA,Eastern,2
02540,Falmouth,MA,Eastern,2
02541,Falmouth,MA,Eastern,2
02542,Buzzards Bay,MA,Eastern,2
02543,Woods Hole,MA,Eastern,2
02552,Menemsha,MA,Eastern,2
